domain_name,company_name,no_of_employees
ltchs.com,ltchs.com,
intoglobal.com,,
terracon.com,Terracon,1-10
perryjohnsonmortgage.com,Perryjohnsonmortgage,
planoly.com,Planoly,
roche.com,Roche,94000
cloudbolt.io,CloudBolt,51-100
yapta.com,,
fastenal.com,Fastenal Company,
lino.network,,
voxxymarketing.com,,
acemillwork.com,,
adshollywood.com,Advanced Digital Services,101-250
rstor.io,,
ecofishresearch.com,Ecofish Research,
coorstek.com,CoorsTek,1700
insticator.com,Insticator,
skyriverit.com,Skyriver IT,
odkmedia.net,Odk Media INC,102
igbrands.com,Igbrands,
pfannenbergusa.com,,
withjoy.com,Joy,51-100
geracilawfirm.com,,
westwoodfunding.com,WestWood Funding,
envative.com,,
sonnen-batterie.com,Sonnen,251-500
candlescience.com,CandleScience,
develeyusa.com,,
flipkart.com,Flipkart,10000+
4abs.net,,
ablemoving.com,,
windfall.com,,
imprimedicine.com,ImpriMed,11-50
bigjoelift.com,Big Joe,
klearin.com,Klearin,
byltbasics.com,BYLT Basics,
zetaglobal.com,zetaglobal.com,
finixpayments.com,Finix,11-50
mcmc.net,Mid,
advancedmd.com,,
officeally.com,OfficeAlly,
wewritecode.com,We Write Code,
taser.com,,
idahogastro.com,Idahogastro,
repfitness.com,Rep Fitness,
mightier.com,,
smartprousa.com,Smartprousa,
k2sci.com,K2sci,
walmart.com,Walmart,
koddi.com,Koddi,
trillianthealth.com,Trilliant Health,
smashfly.com,,
knowledgesociety.com,,
element.com,Element Materials Technology,5000-10000
reslife.org, Resurrection Life Church,709
ezra.com,ezra,
bkmsd.com,,
withdirect.com,,
treelogistics.com,Tree Logistics,
hiniker.com,Hinker,333
movinganalytics.com,Moving Analytics,34
hologram.io,Hologram,
d214.org,District 214,
umsystem.edu,UM System,
sconzacandy.com,Sconza Chocolates,
roadster.com,Roadster,
schneidergis.com,,
flyrlabs.com,FLYR,11-50
basicallycabinets.com,,
arconic.com,Arconic,
ubiqd.com,UbiQD,
redpepperland.com,redpepperland.com,
gotexashealthcare.com,Gotexashealthcare,
usewheelhouse.com,,
cubcoats.com,,
mgwest.com,,
fututrade.com,Fututrade,
dave.com,Dave,
zenput.com,Zenput,
behively.org,Hively,
365-holdings.com,365 Holdings,
constructionturmel.com,,
vutiliti.com,,
circlepix.com,,
moxehealth.com,Moxe,84
partnersandnapier.com,,
ktagroup.com,,
dwelo.com,Dwelo,
wustl.edu,Washington University in St. Louis,14000
pietown.tv,,
stockpile.com,Stockpile,
goswift.ly,Swiftly,11-50
tray.io,,
yandex.com,Yandex,
lifeonair.com,,
noticed.com,Noticed,
loftium.com,Loftium,11-50
murphyoilcorp.com,,
workspaceok.com,,
nuro.ai,Nuro,
inadev.com,,
ditto.com,,
arbinmail.com,arbinmail.com,
closedloop.ai,closedloop.ai,
tempalert.com,,
vicarioussurgical.com,Vicarious Surgical,
husd.net,Husd,
theloffices.com,,
ford.com,Ford Motor Company,
lucyinthesky.com,lucyinthesky.com,
mattermost.com,Mattermost,
vml.com,VMLY&R,5000-10000
ilcdover.com,ILC Dover,251-500
epidemicsound.com,Epidemic Sound,51-100
whyhotel.com,WhyHotel,51-100
fort-west.com,,
tracfone.com,TracFone Wireless,
castlerockam.com,Castlerock AM,
ktanda.com,ktanda.com,
musicbed.com,,
hds-rx.com,HealthPlan Data Solutions,1-10
ingenuiti.com,Ingenuiti,
jahnelgroup.com,Jahnel Group,
rovisys.com,RoviSys,501-1000
agio.com,Agio Technology,101-250
lynd.com,Lynd,
campfireandco.com,,
tesani.com,,
fieldpaoli.com,,
teletracnavman.com,Teletrac Navman,501-1000
cvssp.network,,
isecinc.com,ISEC,
kayak.com,KAYAK,
wayup.com,,
logistics365.com,,
doordash.com,DoorDash,30000
skypatrolusa.com,,
gitprime.com,,
instructure.com,Instructure,501-1000
visimo.ai,Visimo,
benchmarkwine.com,Benchmark Wine Group,
standard.ai,Standard Cognition,
mycompasschurch.com,Compass Church,
positraction.com,,
redlablogistics.com,Red Lab Logistics,6
pairofthieves.com,Pair of Thieves,
lelchav.com,lelchav.com,
tlg.com,The Link Group,101-250
clickbank.com,,
losant.com,,
smartrendmfg.com,,
nuvo.finance,Nuvo,
68ventures.com,68ventures.com,
workthefactory.com,The Factory,
launch-angels.com,,
wearecompanya.com,wearecompanya.com,
demuthdesigns.com,DeMuth Designs,
harpergc.com,Harpergc,
ramseymediaworks.com,ramseymediaworks.com,
equityzen.com,EquityZen,
oneincsystems.com,One Inc,101-250
alisonsouthmarketing.com,Alison South Marketing Group,
aeye.ai,AEye,140
bloomreach.com,Bloomreach,251-500
mdkattorneys.com,mdkattorneys.com,
lev.co,Lev,
lynchburg.edu,University of Lynchburg,
motiveai.com,,
syntasa.com,,
grafresearch.com,Graf Research,
blueprintprep.com,Blueprint LSAT Prep,
virtru.com,Virtru,51-100
sentientscience.com,,
tdstickets.com,,
avocadomattress.com,avocadomattress.com,
christies.com,Christie's,1000-5000
brokerageengine.com,,
gameaddik.com,Gameaddik,
thinkmagellan.com,Magellan Learning Solutions,
chariot.com,,
res.us,Resource Environmental Solutions,450
impactradius.com,Impact,
elitepropertyresearch.com,,
bryantschools.org,Bryant Schools,
donaanacounty.org,Doña Ana County,272
thethinkacademy.com,Think Academy,
herodistro.com,,
beauceronsecurity.com,Beauceron Security Inc,40
harvest.org,Harvest Christian Fellowship,170
coastalcloud.us,Coastal Cloud,
alan.eu,Alan,101-250
dressanomalie.com,,
ncsu.edu,NC State University,9600
illinois.edu,University of Illinois,20000
ptc.com,PTC,
grooverlabs.org,Groover Labs,
deako.com,,
hellomd.com,,
rain.bh,Rain,
smxtech.com,Smxtech,
newmexicoconsortium.org,New Mexico Consortium,49
pmg.com,PMG,101-250
cens.io,,
familiasenaccion.org,Familias en Acción,
aligntoday.com,Align Today,
revenuewell.com,,
gobrandgo.com,,
auxgrp.com,,
akunacapital.com,Akuna Capital,
emory.edu,Emory University,
onistudios.gg,onistudios.gg,
vidanyx.com,,
bitloft.com,,
gpmail.org,gpmail.org,
joinpropel.com,Propel,
housingwire.com,HousingWire,11-50
visionarygroupla.com,,
ryzer.com,Ryzer,11-50
helloinspire.com,,
zodiac.com,,
bcfed.ca,BC Federation of Labour,
dharma.io,,
ncdot.gov,N.C. Department of Transportation,13500
runragnar.com,,
freenome.com,Freenome,101-250
cover.build,Cover,
singularityu.org,,
uhaul.com,U-Haul,
germain.com,Germain,
certn.co,Certn,137
tokenex.com,TokenEx,11-50
hexagon-energy.com,Hexagon Energy,
davidccook.com,,
drips.com,Drips,11-50
graphite.dev,Graphite,
mhrbrands.com,,
quantumsignalai.com,Quantum Signal,38
trainual.com,Trainual,11-50
pandarg.com,Panda Restaurant Group,
oliveai.com,,
nealternatives.com,Nealternatives,
singleragenomics.com,,
triumphgroup.com,Triumph Group,
rocketinsights.com,Rocket Insights,229
tkmkt.com,,
redargyle.com,Red Argyle,47
cybcube.com,CyberCube,
trysensai.com,,
rentping.com,,
vulcraft-al.com,vulcraft-al.com,
waloinc.com,waloinc.com,
purposefunding.com,,
sparktechs.com,Spark Technologies,60
hcahealthcare.com,HCA Healthcare,
luminostics.com,,
w5investments.com,,
harmonyhit.com,Harmony Healthcare IT,
getdor.com,,
avad3.com,,
trane.com,trane.com,
bushelpowered.com,Bushel,
findsomewinmore.com,,
surglogs.com,,
landmarkhc.com,Landmarkhc,
jmj.me,JMJ Financial,101-250
sentilink.com,SentiLink,11-50
tempus-ex.com,Tempus Ex,
manifoldtrading.com,Manifoldtrading,
tpfs.io,,
pestellpet.com,Pestellpet,
method.com,method.com,
honeybeerobotics.com,,
velvetfs.com,Velvetfs,
thelukenscompany.com,,
imegonline.com,Internet Marketing Expert Group,
skurka-aero.com,Skurka Aerospace,101-250
fewlines.co,,
txvamtg.com,,
nps.gov,National Park Service,
canva.com,Canva,501-1000
pixalate.com,Pixalate,
randallmechanical.com,Randall Mechanical,501-1000
hermesofparis.com,,
safetyskills.com,SafetySkills,51-100
bhg-inc.com,BHG,
tempursealy.com,Tempur Sealy International,5000-10000
oddbeast.tv,,
redsidecre.com,,
aceindustries.com,Ace Industries,
earthport.com,,
swift-partners.com,,
nationbuilder.com,,
saleshood.com,,
viome.com,Viome,101-250
continental-corporation.com,Continental Corporation,72000
novacoast.com,Novacoast,
teamzerolabs.com,,
channelfactory.com,Channel Factory,11-50
embarktrucks.com,Embark Trucks,
greatprofessionalwebsites.com,Great Dental Websites,38
fixdrepair.com,,
healthify.us,,
apreciouschild.org,A Precious Child,
eightfold.ai,Eightfold,
gethappyspace.com,,
riskalyze.com,Riskalyze,
rugiet.com,Rugiet,
add-black.com,Add-Black,
imagine-docs.com,Imagine-Docs,
provequity.com,Providence Equity Partners,
hologramelectronics.com,Hologram Electronics,
siteimprove.com,Siteimprove,
midwest1938.com,Midwest 1938,
zglue.com,,
hqraleigh.com,,
technosoftcorp.com,,
windfalldata.com,Windfall,
thetech.org,Tech Museum of Innovation,
novacredit.com,Nova Credit,51-100
lgsinnovations.com/ kclemmer,,
toofon.co,,
foodcorps.org,FoodCorps,
sargonlawgroup.com,Sargonlawgroup,
slidegenius.com,,
amphivena.com,,
harrisondentalstudio.com,Harrisondentalstudio,
swordhealth.com,SWORD Health,
discoverorg.com,,
taykey.com,,
gracefellowship.com,Grace Fellowship,
dynamicyield.com,Dynamic Yield,101-250
211la.org,,
ilumaagency.com,,
hopper.com,Hopper,
circlethecity.org,Circle the City,
techmd.com,Techmd,
onyxtop.com,Onyx Top,
karmadharma.ca, KarmaDharma,
gloriouscanna.com,gloriouscanna.com,
stockwell.ai,,
organictech.com,Organic Technologies,
vallen.com,Vallen,
departmentphx.com,,
medalogix.com,,
curiobioscience.com,Curiobioscience,
aevum.us,Aevum,
thehi5.com,,
techstars.com,Techstars,
vianet.us,Vianet,
seiu1021.org,,
modusbox.com,ModusBox,11-50
ainfosys.com,,
carolinacat.com,Carolina Cat,
mikinc.us,mikinc.us,
mineralinteractive.com,,
crowdrx.org,CrowdRx,501-1000
leadspace.com,,
morrisonkids.org,Morrison Child and Family Services,
techelevator.com,,
solarreviews.com,solarreviews.com,
jfdiaccountants.com,JFDI Accountants,
participate.com,,
skinlaundry.com,,
dupleroffice.com,Dupler Office,
